hexsha,patch,summary,author
66eede4a37c3,https://github.com/git/git/commit/66eede4a37c3,prepare_repo_settings(): plug leak of config values,Jeff King
25b6a95d03fe,https://github.com/git/git/commit/25b6a95d03fe,submodule--helper: fix a memory leak in print_status(),Ævar Arnfjörð Bjarmason
623bd7d154da,https://github.com/git/git/commit/623bd7d154da,submodule--helper: fix a leak in module_add(),Ævar Arnfjörð Bjarmason
ae3ef94d9bc6,https://github.com/git/git/commit/ae3ef94d9bc6,submodule--helper: fix a memory leak in get_default_remote_submodule(),Ævar Arnfjörð Bjarmason
17af0a844452,https://github.com/git/git/commit/17af0a844452,submodule--helper: fix a leak with repo_clear(),Ævar Arnfjörð Bjarmason
61adac6c4b58,https://github.com/git/git/commit/61adac6c4b58,"submodule--helper: fix ""errmsg_str"" memory leak",Ævar Arnfjörð Bjarmason
4b9d12460d18,https://github.com/git/git/commit/4b9d12460d18,"submodule--helper: ""struct pathspec"" memory leak in module_update()",Ævar Arnfjörð Bjarmason
d76260e60a5c,https://github.com/git/git/commit/d76260e60a5c,submodule--helper: fix trivial get_default_remote_submodule() leak,Ævar Arnfjörð Bjarmason
96a907376b10,https://github.com/git/git/commit/96a907376b10,"submodule--helper: add missing braces to ""else"" arm",Ævar Arnfjörð Bjarmason
23578904da8e,https://github.com/git/git/commit/23578904da8e,preload-index: fix memleak,Anthony Delannoy
c5365e93fd94,https://github.com/git/git/commit/c5365e93fd94,"bisect.c: add missing ""goto"" for release_revisions()",Ævar Arnfjörð Bjarmason
198551ca54f6,https://github.com/git/git/commit/198551ca54f6,git-p4: fix error handling in P4Unshelve.renameBranch(),Moritz Baumann
34e691288d4e,https://github.com/git/git/commit/34e691288d4e,test-tool ref-store: fix a memory leak,Ævar Arnfjörð Bjarmason
55916bba0f48,https://github.com/git/git/commit/55916bba0f48,gc: fix a memory leak,Ævar Arnfjörð Bjarmason
d90dafbe3180,https://github.com/git/git/commit/d90dafbe3180,cat-file: fix a memory leak in --batch-command mode,Ævar Arnfjörð Bjarmason
74a06a9f2103,https://github.com/git/git/commit/74a06a9f2103,clone: fix memory leak in wanted_peer_refs(),Ævar Arnfjörð Bjarmason
652891de4ff1,https://github.com/git/git/commit/652891de4ff1,read_index_from(): avoid memory leak,Johannes Schindelin
41a86b64c093,https://github.com/git/git/commit/41a86b64c093,submodule--helper: avoid memory leak when fetching submodules,Johannes Schindelin
f53559227ccb,https://github.com/git/git/commit/f53559227ccb,submodule-config: avoid memory leak,Johannes Schindelin
5a09991e32f3,https://github.com/git/git/commit/5a09991e32f3,fsmonitor: avoid memory leak in `fsm_settings__get_incompatible_msg()`,Johannes Schindelin
35919bf1ab9d,https://github.com/git/git/commit/35919bf1ab9d,transport: unify return values and exit point from transport_push(),Frantisek Hrbata
6a616619679d,https://github.com/git/git/commit/6a616619679d,archive: do not let on-disk mode leak to zip archives,Junio C Hamano
6dfadc8981a3,https://github.com/git/git/commit/6dfadc8981a3,clone: plug a miniscule leak,Junio C Hamano
89f45cf4eb03,https://github.com/git/git/commit/89f45cf4eb03,"format-patch: don't leak ""extra_headers"" or ""ref_message_ids""",Ævar Arnfjörð Bjarmason
b925fcf12951,https://github.com/git/git/commit/b925fcf12951,"t/helper/test-fast-rebase.c: don't leak ""struct strbuf""",Ævar Arnfjörð Bjarmason
82e69b0cb5ef,https://github.com/git/git/commit/82e69b0cb5ef,"ls-tree: add missing braces to ""else"" arms",Ævar Arnfjörð Bjarmason
8f79015111f8,https://github.com/git/git/commit/8f79015111f8,submodule--helper: fix trivial leak in module_add(),Ævar Arnfjörð Bjarmason
8d60e9d2010d,https://github.com/git/git/commit/8d60e9d2010d,merge-ort: fix small memory leak in detect_and_process_renames(),Elijah Newren
679e3693aba0,https://github.com/git/git/commit/679e3693aba0,branch.c: use 'goto cleanup' in setup_tracking() to fix memory leaks,Glen Choo
587c3d0da67a,https://github.com/git/git/commit/587c3d0da67a,progress.c test helper: add missing braces,Ævar Arnfjörð Bjarmason
0f03f04c5c24,https://github.com/git/git/commit/0f03f04c5c24,sparse-checkout: fix a couple minor memory leaks,Elijah Newren
6046f7a91c3b,https://github.com/git/git/commit/6046f7a91c3b,merge: fix memory leaks in cmd_merge(),Elijah Newren
a59b8dd94f0e,https://github.com/git/git/commit/a59b8dd94f0e,merge-ort: fix memory leak in merge_ort_internal(),Elijah Newren
f5f6a6cd4740,https://github.com/git/git/commit/f5f6a6cd4740,reftable: ignore remove() return value in stack_test.c,Han-Wen Nienhuys
f7445865f260,https://github.com/git/git/commit/f7445865f260,reftable: check reftable_stack_auto_compact() return value,Han-Wen Nienhuys
27e27ee2249f,https://github.com/git/git/commit/27e27ee2249f,reftable: fix resource leak blocksource.c,Han-Wen Nienhuys
999bba3e0bbb,https://github.com/git/git/commit/999bba3e0bbb,daemon: plug memory leak on overlong path,René Scharfe
dee839a26331,https://github.com/git/git/commit/dee839a26331,format-patch: mark rev_info with UNLEAK,Junio C Hamano
df25a19d7287,https://github.com/git/git/commit/df25a19d7287,test-ref-store: plug memory leak in cmd_delete_refs,Han-Wen Nienhuys
022815114a8a,https://github.com/git/git/commit/022815114a8a,pack-bitmap.c: don't leak type-level bitmaps,Taylor Blau
ee4a1d63d7e9,https://github.com/git/git/commit/ee4a1d63d7e9,builtin/multi-pack-index.c: don't leak concatenated options,Taylor Blau
e6432e0f1f18,https://github.com/git/git/commit/e6432e0f1f18,builtin/repack.c: avoid leaking child arguments,Taylor Blau
9e39acc94ad4,https://github.com/git/git/commit/9e39acc94ad4,builtin/pack-objects.c: don't leak memory via arguments,Taylor Blau
492cb394fb2b,https://github.com/git/git/commit/492cb394fb2b,midx.c: don't leak MIDX from verify_midx_file,Taylor Blau
