hexsha,patch,summary,author
869da64d0711,https://github.com/torvalds/linux/commit/869da64d0711,cifs: fix memory leak of smb3_fs_context_dup::server_hostname,Paulo Alcantara
4cc4cc28ec41,https://github.com/torvalds/linux/commit/4cc4cc28ec41,arch_topology: Fix missing clear cluster_cpumask in remove_cpu_topology(),Wang ShaoBo
aba8c5e38075,https://github.com/torvalds/linux/commit/aba8c5e38075,perf metric: Fix memory leaks,Ian Rogers
e4e290791d87,https://github.com/torvalds/linux/commit/e4e290791d87,perf stat: Fix memory leak on error path,Ian Rogers
88c42f4d6cb2,https://github.com/torvalds/linux/commit/88c42f4d6cb2,perf bpf: Add missing free to bpf_event__print_bpf_prog_info(),Ian Rogers
41d17431df4a,https://github.com/torvalds/linux/commit/41d17431df4a,mm: list_lru: fix the return value of list_lru_count_one(),Muchun Song
ae3fab5bcc72,https://github.com/torvalds/linux/commit/ae3fab5bcc72,ocfs2: fix handle refcount leak in two exception handling paths,Chenyuan Mi
69c55f6e7669,https://github.com/torvalds/linux/commit/69c55f6e7669,can: mcp251xfd: mcp251xfd_chip_start(): fix error handling for mcp251xfd_chip_rx_int_enable(),Marc Kleine-Budde
691204bd66b3,https://github.com/torvalds/linux/commit/691204bd66b3,can: mcp251xfd: mcp251xfd_irq(): add missing can_rx_offload_threaded_irq_finish() in case of bus off,Marc Kleine-Budde
38987a872b31,https://github.com/torvalds/linux/commit/38987a872b31,ataflop: Add missing semicolon to return statement,Geert Uytterhoeven
d9447f768bc8,https://github.com/torvalds/linux/commit/d9447f768bc8,can: etas_es58x: es58x_rx_err_msg(): fix memory leak in error path,Vincent Mailhol
6ddc0eb7a2e8,https://github.com/torvalds/linux/commit/6ddc0eb7a2e8,drm/amd/amdgpu: Fix csb.bo pin_count leak on gfx 9,YuBiao Wang
002be8114007,https://github.com/torvalds/linux/commit/002be8114007,mfd: core: Add missing of_node_put for loop iteration,Krzysztof Kozlowski
fe7d064fa3fa,https://github.com/torvalds/linux/commit/fe7d064fa3fa,block: fix device_add_disk() kobject_create_and_add() error handling,Luis Chamberlain
ed73919124b2,https://github.com/torvalds/linux/commit/ed73919124b2,mtd/ubi/block: add error handling support for add_disk(),Luis Chamberlain
15733754ccf3,https://github.com/torvalds/linux/commit/15733754ccf3,z2ram: add error handling support for add_disk(),Luis Chamberlain
5a192ccc32e2,https://github.com/torvalds/linux/commit/5a192ccc32e2,nvdimm/pmem: use add_disk() error handling,Luis Chamberlain
dc104f4bb2d0,https://github.com/torvalds/linux/commit/dc104f4bb2d0,nvdimm/blk: add error handling support for add_disk(),Luis Chamberlain
16be7974ff5d,https://github.com/torvalds/linux/commit/16be7974ff5d,nvdimm/btt: add error handling support for add_disk(),Luis Chamberlain
6bb8c2d51811,https://github.com/torvalds/linux/commit/6bb8c2d51811,drm/nouveau/svm: Fix refcount leak bug and missing check against null bug,Chenyuan Mi
496bb18483cc,https://github.com/torvalds/linux/commit/496bb18483cc,PCI: j721e: Fix j721e_pcie_probe() error path,Christophe JAILLET
067558177be6,https://github.com/torvalds/linux/commit/067558177be6,drm/amd/pm: Add missing mutex for pp_get_power_profile_mode,Mario Limonciello
9a268faa5f86,https://github.com/torvalds/linux/commit/9a268faa5f86,fs/9p: fix indentation and Add missing a blank line after declaration,Sohaib Mohamed
27eb4c3144f7,https://github.com/torvalds/linux/commit/27eb4c3144f7,9p/net: fix missing error check in p9_check_errors,Dominique Martinet
97ae45953ea9,https://github.com/torvalds/linux/commit/97ae45953ea9,platform/x86: system76_acpi: Fix input device error handling,Tim Crawford
ad10c381d133,https://github.com/torvalds/linux/commit/ad10c381d133,bpf: Add missing map_delete_elem method to bloom filter map,Eric Dumazet
2cf3f8133bda,https://github.com/torvalds/linux/commit/2cf3f8133bda,btrfs: fix lzo_decompress_bio() kmap leakage,Linus Torvalds
089975379d52,https://github.com/torvalds/linux/commit/089975379d52,dm: add add_disk() error handling,Luis Chamberlain
e1528830bd4e,https://github.com/torvalds/linux/commit/e1528830bd4e,block/brd: add error handling support for add_disk(),Luis Chamberlain
3c30883acab1,https://github.com/torvalds/linux/commit/3c30883acab1,ps3vram: add error handling support for add_disk(),Luis Chamberlain
ff4cbe0fcf5d,https://github.com/torvalds/linux/commit/ff4cbe0fcf5d,ps3disk: add error handling support for add_disk(),Luis Chamberlain
5e2e1cc4131c,https://github.com/torvalds/linux/commit/5e2e1cc4131c,zram: add error handling support for add_disk(),Luis Chamberlain
68264c4609ea,https://github.com/torvalds/linux/commit/68264c4609ea,staging: r8188eu: fix missing unlock in rtw_resume(),Yang Yingliang
7f98960c046e,https://github.com/torvalds/linux/commit/7f98960c046e,i2c: xlr: Fix a resource leak in the error handling path of 'xlr_i2c_probe()',Christophe JAILLET
173632358fde,https://github.com/torvalds/linux/commit/173632358fde,ASoC: rsnd: Fix an error handling path in 'rsnd_node_count()',Christophe JAILLET
ca98d72141dd,https://github.com/torvalds/linux/commit/ca98d72141dd,f2fs: fix incorrect return value in f2fs_sanity_check_ckpt(),Chao Yu
a472cc0dde3e,https://github.com/torvalds/linux/commit/a472cc0dde3e,crypto: s5p-sss - Add error handling in s5p_aes_probe(),Tang Bin
f281d010b874,https://github.com/torvalds/linux/commit/f281d010b874,ipmi: kcs_bmc: Fix a memory leak in the error handling path of 'kcs_bmc_serio_add_device()',Christophe JAILLET
e4313be1599d,https://github.com/torvalds/linux/commit/e4313be1599d,PCI: aardvark: Fix return value of MSI domain .alloc() method,Marek Behún
efadf2ad17a2,https://github.com/torvalds/linux/commit/efadf2ad17a2,selftests/bpf: Fix memory leak in test_ima,Kumar Kartikeya Dwivedi
a5c5d8d50ecf,https://github.com/torvalds/linux/commit/a5c5d8d50ecf,drm/amdgpu: fix a potential memory leak in amdgpu_device_fini_sw(),Lang Yu
a3e340c1574b,https://github.com/torvalds/linux/commit/a3e340c1574b,dmaengine: idxd: fix resource leak on dmaengine driver disable,Dave Jiang
290fe8aa69ef,https://github.com/torvalds/linux/commit/290fe8aa69ef,powerpc/44x/fsp2: add missing of_node_put,Bixuan Cui
910c996335c3,https://github.com/torvalds/linux/commit/910c996335c3,USB: serial: keyspan: fix memleak on probe errors,Wang Hai
fdde18b97736,https://github.com/torvalds/linux/commit/fdde18b97736,ASoC: amd: acp: Fix return value check in acp_machine_select(),Yang Yingliang
f913582190dd,https://github.com/torvalds/linux/commit/f913582190dd,ASoC: rockchip: i2s_tdm: improve return value handling,Pierre-Louis Bossart
439c06f341aa,https://github.com/torvalds/linux/commit/439c06f341aa,ASoC: mediatek: mt8195: fix return value,Pierre-Louis Bossart
c6477cb23704,https://github.com/torvalds/linux/commit/c6477cb23704,rtw89: fix return value in hfc_pub_cfg_chk,Kevin Lo
9692151e2fe7,https://github.com/torvalds/linux/commit/9692151e2fe7,libertas: Fix possible memory leak in probe and disconnect,Wang Hai
d549107305b4,https://github.com/torvalds/linux/commit/d549107305b4,libertas_tf: Fix possible memory leak in probe and disconnect,Wang Hai
f76fbbbb5061,https://github.com/torvalds/linux/commit/f76fbbbb5061,samples/kretprobes: Fix return value if register_kretprobe() failed,Tiezhu Yang
0b0a281ed700,https://github.com/torvalds/linux/commit/0b0a281ed700,spi: spi-rpc-if: Check return value of rpcif_sw_init(),Lad Prabhakar
ca9b8f56ec08,https://github.com/torvalds/linux/commit/ca9b8f56ec08,spi: bcm-qspi: Fix missing clk_disable_unprepare() on error in bcm_qspi_probe(),Yang Yingliang
10adb1152d95,https://github.com/torvalds/linux/commit/10adb1152d95,btrfs: fix lost error handling when replaying directory deletes,Filipe Manana
44bee215f72f,https://github.com/torvalds/linux/commit/44bee215f72f,btrfs: reflink: initialize return value to 0 in btrfs_extent_same(),Sidong Yang
3c20bd3af535,https://github.com/torvalds/linux/commit/3c20bd3af535,tracing: Fix missing trace_boot_init_histograms kstrdup NULL checks,Mathieu Desnoyers
b4dc97ab0a62,https://github.com/torvalds/linux/commit/b4dc97ab0a62,phy: Sparx5 Eth SerDes: Fix return value check in sparx5_serdes_probe(),Yang Yingliang
bf7ffcd0069d,https://github.com/torvalds/linux/commit/bf7ffcd0069d,phy: qcom-qusb2: Fix a memory leak on probe,Vladimir Zapolskiy
926245c7d222,https://github.com/torvalds/linux/commit/926245c7d222,nvmet-tcp: fix a memory leak when releasing a queue,Maurizio Lombardi
a0c8c3372b41,https://github.com/torvalds/linux/commit/a0c8c3372b41,fddi: defza: add missing pointer type cast,Jakub Kicinski
68a6e0c63c76,https://github.com/torvalds/linux/commit/68a6e0c63c76,irqchip/mchp-eic: Fix return value check in mchp_eic_init(),Yang Yingliang
9bf9e0b44104,https://github.com/torvalds/linux/commit/9bf9e0b44104,dmaengine: mmp_pdma: fix reference count leaks in mmp_pdma_probe,Xin Xiong
05f4fae9a2f5,https://github.com/torvalds/linux/commit/05f4fae9a2f5,dmaengine: rcar-dmac: refactor the error handling code of rcar_dmac_probe,Dongliang Mu
c7892ae13e46,https://github.com/torvalds/linux/commit/c7892ae13e46,pinctrl: core: fix possible memory leak in pinctrl_enable(),Yang Yingliang
42c498c18a94,https://github.com/torvalds/linux/commit/42c498c18a94,iomap: Fix iomap_dio_rw return value for user copies,Andreas Gruenbacher
04f8ef5643bc,https://github.com/torvalds/linux/commit/04f8ef5643bc,cgroup: Fix memory leak caused by missing cgroup_bpf_offline,Quanyang Wang
e89ef634f81c,https://github.com/torvalds/linux/commit/e89ef634f81c,bpftool: Avoid leaking the JSON writer prepared for program metadata,Quentin Monnet
1000298c7683,https://github.com/torvalds/linux/commit/1000298c7683,libbpf: Fix memory leak in btf__dedup(),Mauricio Vásquez
297db731847e,https://github.com/torvalds/linux/commit/297db731847e,block: fix req_bio_endio append error handling,Pavel Begunkov
4df5585776fa,https://github.com/torvalds/linux/commit/4df5585776fa,drm/amdgpu/smu11.0: add missing IP version check,Alex Deucher
83b863f4a3f0,https://github.com/torvalds/linux/commit/83b863f4a3f0,mtd: add add_disk() error handling,Luis Chamberlain
2e9e31bea019,https://github.com/torvalds/linux/commit/2e9e31bea019,rnbd: add error handling support for add_disk(),Luis Chamberlain
66638f163a2b,https://github.com/torvalds/linux/commit/66638f163a2b,um/drivers/ubd_kern: add error handling support for add_disk(),Luis Chamberlain
21fd880d3da7,https://github.com/torvalds/linux/commit/21fd880d3da7,m68k/emu/nfblock: add error handling support for add_disk(),Luis Chamberlain
293a7c528803,https://github.com/torvalds/linux/commit/293a7c528803,xen-blkfront: add error handling support for add_disk(),Luis Chamberlain
e7089f65dd51,https://github.com/torvalds/linux/commit/e7089f65dd51,dm: add add_disk() error handling,Luis Chamberlain
0db55f9a1baf,https://github.com/torvalds/linux/commit/0db55f9a1baf,drm/ttm: fix memleak in ttm_transfered_destroy,Christian König
f0cbc8b3cdf7,https://github.com/torvalds/linux/commit/f0cbc8b3cdf7,x86/fpu: Do not leak fpstate pointer on fork,Thomas Gleixner
b6ca770ae7f2,https://github.com/torvalds/linux/commit/b6ca770ae7f2,scsi: ufs: ufshcd-pltfrm: Fix memory leak due to probe defer,Srinivas Kandagatla
d5f458a97965,https://github.com/torvalds/linux/commit/d5f458a97965,Fix user namespace leak,Alexey Gladkov
26f448371820,https://github.com/torvalds/linux/commit/26f448371820,staging: r8188eu: fix memleak in rtw_wx_set_enc_ext,Martin Kaiser
a04310edcd00,https://github.com/torvalds/linux/commit/a04310edcd00,rtw89: fix return value check in rtw89_cam_send_sec_key_cmd(),Yang Yingliang
515e7184bdf0,https://github.com/torvalds/linux/commit/515e7184bdf0,rsi: stop thread firstly in rsi_91x_init() error handling,Ziyang Xuan
3924715ffe5e,https://github.com/torvalds/linux/commit/3924715ffe5e,mt76: mt7915: fix info leak in mt7915_mcu_set_pre_cal(),Dan Carpenter
ba69fd9101f2,https://github.com/torvalds/linux/commit/ba69fd9101f2,net: dsa: Fix an error handling path in 'dsa_switch_parse_ports_of()',Christophe JAILLET
5aeeac6fa38f,https://github.com/torvalds/linux/commit/5aeeac6fa38f,drm/amdkfd: Fix an inappropriate error handling in allloc memory of gpu,Lang Yu
892a666fafa1,https://github.com/torvalds/linux/commit/892a666fafa1,xfs: fix perag reference leak on iteration race with growfs,Brian Foster
34dc2fd6e690,https://github.com/torvalds/linux/commit/34dc2fd6e690,ucounts: Proper error handling in set_cred_ucounts,Eric W. Biederman
c69b2f468768,https://github.com/torvalds/linux/commit/c69b2f468768,cavium: Fix return values of the probe function,Zheyu Ma
e211210098cb,https://github.com/torvalds/linux/commit/e211210098cb,mISDN: Fix return values of the probe function,Zheyu Ma
9037c57681d2,https://github.com/torvalds/linux/commit/9037c57681d2,"mm, slub: fix potential memoryleak in kmem_cache_open()",Miaohe Lin
7fb223d0ad80,https://github.com/torvalds/linux/commit/7fb223d0ad80,scsi: qla2xxx: Fix a memory leak in an error path of qla2x00_process_els(),Joy Gu
e9d658c2175b,https://github.com/torvalds/linux/commit/e9d658c2175b,scsi: sr: Add error handling support for add_disk(),Luis Chamberlain
2a7a891f4c40,https://github.com/torvalds/linux/commit/2a7a891f4c40,scsi: sd: Add error handling support for add_disk(),Luis Chamberlain
9be68dd7ac0e,https://github.com/torvalds/linux/commit/9be68dd7ac0e,md: add error handling support for add_disk(),Luis Chamberlain
2f1510708970,https://github.com/torvalds/linux/commit/2f1510708970,block/ataflop: add error handling support for add_disk(),Luis Chamberlain
625a28a7e60c,https://github.com/torvalds/linux/commit/625a28a7e60c,swim: add error handling support for add_disk(),Luis Chamberlain
a2379420c7d7,https://github.com/torvalds/linux/commit/a2379420c7d7,amiflop: add error handling support for add_disk(),Luis Chamberlain
47d34aa2d211,https://github.com/torvalds/linux/commit/47d34aa2d211,floppy: add error handling support for add_disk(),Luis Chamberlain
2d4bcf764297,https://github.com/torvalds/linux/commit/2d4bcf764297,block/swim3: add error handling support for add_disk(),Luis Chamberlain
27c97abc30e2,https://github.com/torvalds/linux/commit/27c97abc30e2,rbd: add add_disk() error handling,Luis Chamberlain
d6ac27c60fec,https://github.com/torvalds/linux/commit/d6ac27c60fec,cdrom/gdrom: add error handling support for add_disk(),Luis Chamberlain
4fac63f8a871,https://github.com/torvalds/linux/commit/4fac63f8a871,pf: add error handling support for add_disk(),Luis Chamberlain
637208e74a86,https://github.com/torvalds/linux/commit/637208e74a86,block/sx8: add error handling support for add_disk(),Luis Chamberlain
7b505627568c,https://github.com/torvalds/linux/commit/7b505627568c,pktcdvd: add error handling support for add_disk(),Luis Chamberlain
4a32e1cdb745,https://github.com/torvalds/linux/commit/4a32e1cdb745,mtip32xx: add error handling support for add_disk(),Luis Chamberlain
3dfdd5f333bf,https://github.com/torvalds/linux/commit/3dfdd5f333bf,pd: add error handling support for add_disk(),Luis Chamberlain
