hexsha,patch,summary,author
5242ef887dd0,https://github.com/qemu/qemu/commit/5242ef887dd0,"target/riscv: Avoid leaking ""no translation"" TLB entries",Palmer Dabbelt
c7ca3ad5e756,https://github.com/qemu/qemu/commit/c7ca3ad5e756,hw/intc/arm_gicv3_its: Add missing newlines to process_mapc() logging,Peter Maydell
879667433a2c,https://github.com/qemu/qemu/commit/879667433a2c,linux-user: Fix missing space in error message,Fergus Henderson
75f7ba165cea,https://github.com/qemu/qemu/commit/75f7ba165cea,hw/misc/npcm7xx_clk: Don't leak string in npcm7xx_clk_sel_init(),Peter Maydell
abe300d9d894,https://github.com/qemu/qemu/commit/abe300d9d894,virtio-net: fix map leaking on error during receive,Jason Wang
8fe496adacc0,https://github.com/qemu/qemu/commit/8fe496adacc0,ui/shader: fix potential leak of shader on error,Marc-André Lureau
05e6e40a869c,https://github.com/qemu/qemu/commit/05e6e40a869c,aspeed: Fix a potential memory leak bug in write_boot_rom(),Wentao_Liang
a105813ac09f,https://github.com/qemu/qemu/commit/a105813ac09f,pci-bridge/xio3130_downstream: Fix error handling,Jonathan Cameron
16ddcbd36c7c,https://github.com/qemu/qemu/commit/16ddcbd36c7c,pci-bridge/xio3130_upstream: Fix error handling,Jonathan Cameron
e609301b458b,https://github.com/qemu/qemu/commit/e609301b458b,hw/pci-bridge/pxb: Fix missing swizzle,Jonathan Cameron
98f7607ecda0,https://github.com/qemu/qemu/commit/98f7607ecda0,hw/virtio: vdpa: Fix leak of host-notifier memory-region,Laurent Vivier
a9eb50376ffb,https://github.com/qemu/qemu/commit/a9eb50376ffb,target/ppc: Add missing helper_reset_fpstatus to helper_XVCVSPBF16,Víctor Colombo
6cdcf8810744,https://github.com/qemu/qemu/commit/6cdcf8810744,ui/console: fix texture leak when calling surface_gl_create_texture(),Marc-André Lureau
cc3b66ac949e,https://github.com/qemu/qemu/commit/cc3b66ac949e,mps3-an547: Add missing user ahb interfaces,Jimmy Brisson
ca511604925e,https://github.com/qemu/qemu/commit/ca511604925e,ui/cocoa: Fix the leak of qemu_console_get_label,Akihiko Odaki
ba6112e40c03,https://github.com/qemu/qemu/commit/ba6112e40c03,tests/9pfs: Fix leak of local_test_path,Greg Kurz
dd4fc6058557,https://github.com/qemu/qemu/commit/dd4fc6058557,util/oslib-posix: Fix missing unlock in the error path of os_mem_prealloc(),David Hildenbrand
301e5d48b15d,https://github.com/qemu/qemu/commit/301e5d48b15d,target/ppc: 405: Add missing MSR_ME bit,Fabiano Rosas
7d62b2dcdb04,https://github.com/qemu/qemu/commit/7d62b2dcdb04,hw/intc/arm_gicv3_its: Fix handling of process_its_cmd() return value,Peter Maydell
1c6c0b9ec1c0,https://github.com/qemu/qemu/commit/1c6c0b9ec1c0,uas: add missing return,Gerd Hoffmann
b259772afc29,https://github.com/qemu/qemu/commit/b259772afc29,hw/scsi/vhost-scsi: don't leak vqs on error,Daniil Tatianin
44bff3767ced,https://github.com/qemu/qemu/commit/44bff3767ced,hw/i386/pc: Add missing property descriptions,Thomas Huth
252f40913a87,https://github.com/qemu/qemu/commit/252f40913a87,job.c: add missing notifier initialization,Emanuele Giuseppe Esposito
b9e5628ca5d4,https://github.com/qemu/qemu/commit/b9e5628ca5d4,microvm: check g_file_set_contents() return value,Gerd Hoffmann
1b38ccc9a1fa,https://github.com/qemu/qemu/commit/1b38ccc9a1fa,microvm: add missing g_free() call,Gerd Hoffmann
f3bc3a73c908,https://github.com/qemu/qemu/commit/f3bc3a73c908,vfio: Fix memory leak of hostwin,Peng Liang
cd523a4181b1,https://github.com/qemu/qemu/commit/cd523a4181b1,net/vhost-vdpa: fix memory leak in vhost_vdpa_get_max_queue_pairs(),Stefano Garzarella
5db83c7e90ec,https://github.com/qemu/qemu/commit/5db83c7e90ec,macfb: fix a memory leak (CID 1465231),Laurent Vivier
